sample_ID,country,site,category,material,N_perc,C_perc,S_perc
CI_sb_01_leaf,CI,sb,ref,leaf,2.7075,41.9209,0.2932
CI_sb_02_leaf,CI,sb,ref,leaf,3.649,39.395,0.3724
CI_sb_03a_leaf,CI,sb,ref,leaf,3.644,35.3387,0.3905
CI_sb_03b_leaf,CI,sb,ref,leaf,4.3026,37.882,0.3073
CI_sb_04_leaf,CI,sb,ref,leaf,4.3079,39.4262,0.2996
CI_sb_05_leaf,CI,sb,ref,leaf,3.9354,39.2697,0.3223
CI_sb_06_leaf,CI,sb,ref,leaf,2.8711,39.7766,0.302
CI_sb_07_leaf,CI,sb,ref,leaf,3.3951,41.3036,0.2447
CI_sb_08_leaf,CI,sb,ref,leaf,3.8263,39.9766,0.3388
CI_sb_01_leaf,CI,sb,ref,leaf,2.7418,42.1177,0.2256
CI_sb_09_leaf,CI,sb,ref,leaf,3.6563,40.6471,0.2368
CI_sb_10_leaf,CI,sb,ref,leaf,3.6495,41.1028,0.2323
CI_sb_11_leaf,CI,sb,ref,leaf,4.1116,38.1857,0.3074
CI_sb_12_leaf,CI,sb,ref,leaf,3.3486,37.2309,0.2647
CI_sb_13_leaf,CI,sb,ref,leaf,3.2196,39.9133,0.2788
CI_sb_14_leaf,CI,sb,ref,leaf,3.7776,40.9343,0.2955
CI_sb_15_leaf,CI,sb,ref,leaf,2.9514,32.8358,0.2499
CI_sb_16_leaf,CI,sb,ref,leaf,3.3183,37.1508,0.2763
CI_sb_01_leaf,CI,sb,ref,leaf,2.7727,42.1021,0.2528
CI_sb_17_leaf,CI,sb,ref,leaf,3.2775,37.1518,0.3473
CI_sb_18_leaf,CI,sb,ref,leaf,3.2097,36.942,0.262
CI_sb_19_leaf,CI,sb,ref,leaf,3.2422,39.7274,0.2605
CI_sb_20_leaf,CI,sb,ref,leaf,3.052,41.9698,0.2162
CI_sb_20_leaf,CI,sb,ref,leaf,3.0892,41.8899,0.2373
CI_sb_20_leaf,CI,sb,ref,leaf,3.105,41.7039,0.2486
BF_mo_01_leaf,BF,mo,ref,leaf,1.6527,40.8024,0.152
BF_mo_02_leaf,BF,mo,ref,leaf,2.2924,40.7012,0.1715
BF_mo_03_leaf,BF,mo,ref,leaf,1.6913,43.5295,0.1586
BF_mo_04_leaf,BF,mo,ref,leaf,3.774,41.0461,0.1879
BF_mo_05_leaf,BF,mo,ref,leaf,1.6009,43.4044,0.1768
BF_mo_06_leaf,BF,mo,ref,leaf,1.9305,42.5823,0.1609
BF_mo_07_leaf,BF,mo,ref,leaf,2.4722,43.3199,0.2088
BF_mo_08_leaf,BF,mo,ref,leaf,2.5009,43.4876,0.172
BF_mo_01_leaf,BF,mo,ref,leaf,1.6799,40.9685,0.1651
BF_mo_09_leaf,BF,mo,ref,leaf,2.7234,43.1906,0.2822
BF_mo_10_leaf,BF,mo,ref,leaf,2.17,43.8479,0.2038
BF_mo_11_leaf,BF,mo,ref,leaf,,,
BF_mo_12_leaf,BF,mo,ref,leaf,1.97,40.4286,0.1702
BF_mo_13_leaf,BF,mo,ref,leaf,2.9281,40.7247,0.2477
BF_mo_14_leaf,BF,mo,ref,leaf,3.8787,42.404,0.2868
BF_mo_15_leaf,BF,mo,ref,leaf,1.7201,42.0229,0.1643
BF_mo_16_leaf,BF,mo,ref,leaf,1.9375,41.2857,0.1494
BF_mo_01_leaf,BF,mo,ref,leaf,1.6384,40.8455,0.1557
BF_mo_17_leaf,BF,mo,ref,leaf,2.0388,42.4734,0.1673
BF_mo_18_leaf,BF,mo,ref,leaf,2.5594,41.8278,0.2512
BF_mo_19_leaf,BF,mo,ref,leaf,3.4246,42.875,0.1944
BF_mo_20_leaf,BF,mo,ref,leaf,1.9656,42.8073,0.1882
BF_mo_20_leaf,BF,mo,ref,leaf,1.9816,42.966,0.2106
