sample_ID,Fe_239.562
CI_tb_01_leaf,1250
CI_tb_02a_leaf,614
CI_tb_03_leaf,248
CI_tb_04_leaf,863
CI_tb_06_leaf,213
CI_tb_07_leaf,196
CI_tb_08_leaf,189
CI_tb_09_leaf,194
CI_tb_10_leaf,483
CI_tb_11_leaf,226
CI_tb_12_leaf,212
CI_tb_13_leaf,725
CI_tb_14_leaf,577
CI_tb_15_leaf,339
CI_tb_16_leaf,538
CI_tb_17_leaf,2060
CI_tb_18_leaf,540
CI_tb_19_leaf,1030
CI_tb_20_leaf,1430
CI_sb_01_leaf,452
CI_sb_02_leaf,1240
CI_sb_03a_leaf,3720
CI_sb_03b_leaf,2020
CI_sb_04_leaf,1060
CI_sb_05_leaf,1170
CI_sb_06_leaf,1730
CI_sb_07_leaf,643
CI_sb_08_leaf,918
CI_sb_09_leaf,716
CI_sb_10_leaf,507
CI_sb_11_leaf,722
CI_sb_12_leaf,1550
CI_sb_13_leaf,835
CI_sb_14_leaf,845
CI_sb_15_leaf,3150
CI_sb_16_leaf,2220
CI_sb_17_leaf,4220
CI_sb_18_leaf,2510
CI_sb_19_leaf,1290
CI_sb_20_leaf,692
CI_tb_01_leaf,1370
CI_tb_20_leaf,1290
CI_sb_01_leaf,476
CI_sb_20_leaf,983
BF_lo_01_leaf,727
BF_lo_20_leaf,104
BF_mo_01_leaf,705
BF_mo_20_leaf,421
BF_lo_01_leaf,708
BF_lo_02_leaf,675
BF_lo_03_leaf,403
BF_lo_04_leaf,190
BF_lo_05_leaf,227
BF_lo_06_leaf,958
BF_lo_07_leaf,883
BF_lo_08_leaf,2790
BF_lo_09_leaf,319
BF_lo_10_leaf,390
BF_lo_11_leaf,205
BF_lo_12_leaf,217
BF_lo_13_leaf,518
BF_lo_14_leaf,182
BF_lo_15_leaf,169
BF_lo_16_leaf,946
BF_lo_17_leaf,259
BF_lo_18_leaf,365
BF_lo_19_leaf,252
BF_lo_20_leaf,319
BF_mo_01_leaf,709
BF_mo_02_leaf,1330
BF_mo_03_leaf,241
BF_mo_04_leaf,345
BF_mo_05_leaf,430
BF_mo_06_leaf,165
BF_mo_07_leaf,289
BF_mo_08_leaf,265
BF_mo_09_leaf,264
BF_mo_10_leaf,272
BF_mo_11_leaf,824
BF_mo_12_leaf,382
BF_mo_13_leaf,1330
BF_mo_14_leaf,269
BF_mo_15_leaf,136
BF_mo_16_leaf,426
BF_mo_17_leaf,492
BF_mo_18_leaf,390
BF_mo_19_leaf,552
BF_mo_20_leaf,375
CI_tb_01_leaf,1330
CI_tb_20_leaf,1380
CI_sb_01_leaf,461
CI_sb_20_leaf,1320
BF_lo_01_leaf,622
BF_lo_20_leaf,316
BF_mo_01_leaf,690
BF_mo_20_leaf,494
