sample_ID,Ca_396.847,K_766.490,Mg_279.553
CI_tb_01_leaf,19500,30900,5270
CI_tb_02a_leaf,27800,31200,6450
CI_tb_03_leaf,19600,27400,9850
CI_tb_04_leaf,30200,23000,6390
CI_tb_06_leaf,13800,33700,5020
CI_tb_07_leaf,23900,15400,6700
CI_tb_08_leaf,19300,28600,5880
CI_tb_09_leaf,14200,14600,4760
CI_tb_10_leaf,22100,25300,8210
CI_tb_11_leaf,14900,23900,5520
CI_tb_12_leaf,20600,12400,5210
CI_tb_13_leaf,20200,23900,6060
CI_tb_14_leaf,13800,16300,8390
CI_tb_15_leaf,18500,26000,5710
CI_tb_16_leaf,24800,13700,10100
CI_tb_17_leaf,22700,31600,6900
CI_tb_18_leaf,18800,25400,8190
CI_tb_19_leaf,25200,35000,7050
CI_tb_20_leaf,13800,23800,8780
CI_sb_01_leaf,22300,26700,3770
CI_sb_02_leaf,15900,40300,7940
CI_sb_03a_leaf,25800,61800,6220
CI_sb_03b_leaf,31200,31800,5780
CI_sb_04_leaf,20800,25800,7810
CI_sb_05_leaf,18300,50200,10000
CI_sb_06_leaf,23500,27300,4080
CI_sb_07_leaf,13200,19000,7600
CI_sb_08_leaf,17100,39900,6530
CI_sb_09_leaf,27800,14200,7860
CI_sb_10_leaf,16000,26700,6660
CI_sb_11_leaf,32300,31700,8200
CI_sb_12_leaf,23800,24300,5830
CI_sb_13_leaf,20600,25200,4150
CI_sb_14_leaf,15700,26100,8530
CI_sb_15_leaf,17500,30500,3750
CI_sb_16_leaf,17100,33500,3950
CI_sb_17_leaf,12700,39300,7210
CI_sb_18_leaf,21100,25500,4170
CI_sb_19_leaf,14300,18600,7620
CI_sb_20_leaf,16700,18300,3750
CI_tb_01_leaf,16800,27400,4480
CI_tb_20_leaf,13500,23700,8570
CI_sb_01_leaf,26100,30000,4410
CI_sb_20_leaf,25300,27100,5660
BF_lo_01_leaf,18300,26600,3850
BF_lo_20_leaf,26600,23300,5840
BF_mo_01_leaf,14200,17100,4250
BF_mo_20_leaf,18300,15600,2760
BF_lo_01_leaf,18200,26500,3820
BF_lo_02_leaf,27500,21400,4310
BF_lo_03_leaf,17500,15500,5540
BF_lo_04_leaf,21000,20500,5360
BF_lo_05_leaf,21500,24400,7170
BF_lo_06_leaf,26800,17800,6140
BF_lo_07_leaf,26500,17900,6050
BF_lo_08_leaf,28700,21700,6950
BF_lo_09_leaf,19500,27100,5440
BF_lo_10_leaf,24900,19300,5560
BF_lo_11_leaf,21900,17900,5710
BF_lo_12_leaf,38800,18300,8850
BF_lo_13_leaf,31500,18700,7460
BF_lo_14_leaf,33600,19800,7260
BF_lo_15_leaf,39100,18500,7500
BF_lo_16_leaf,28700,21700,7400
BF_lo_17_leaf,25900,16500,7460
BF_lo_18_leaf,22100,17300,5720
BF_lo_19_leaf,14700,23900,5380
BF_lo_20_leaf,24800,21900,5460
BF_mo_01_leaf,12600,15000,3820
BF_mo_02_leaf,11200,20100,3670
BF_mo_03_leaf,16900,17900,3370
BF_mo_05_leaf,13800,16000,2610
BF_mo_06_leaf,12800,22200,3770
BF_mo_07_leaf,13700,21400,4100
BF_mo_08_leaf,12300,25100,3980
BF_mo_09_leaf,17800,25400,4150
BF_mo_10_leaf,12200,19700,4190
BF_mo_11_leaf,20900,14600,5200
BF_mo_12_leaf,16800,15900,2610
BF_mo_13_leaf,17300,18200,3430
BF_mo_14_leaf,27500,18100,4500
BF_mo_15_leaf,15200,14500,3690
BF_mo_16_leaf,14000,15100,3110
BF_mo_17_leaf,16400,18600,2630
BF_mo_18_leaf,13700,22000,4510
BF_mo_19_leaf,19300,16900,2810
BF_mo_20_leaf,17200,14700,2580
CI_tb_01_leaf,17200,28000,4600
CI_tb_20_leaf,15300,25500,9710
CI_sb_01_leaf,25500,29300,4260
CI_sb_20_leaf,30700,43600,6470
BF_lo_01_leaf,18800,26700,3940
BF_lo_20_leaf,24200,21300,5350
BF_mo_01_leaf,12000,14500,3610
BF_mo_20_leaf,17500,14500,2620
