field_ID,sample_ID,country,country_full,site,site_full,farmer_no,type,species,variety,material,material_type,date,UTM_easting,UTM_northing,coordinate_system,altitude
CI_tb_01,CI_tb_01_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,1,cal,D. alata,Bètè bètè,leaf,leaf,20140704,197156,900498,UTM,310
CI_tb_01,CI_tb_01_vine,ci,Côte d'Ivoire,tb,Tiéningboué,1,cal,D. alata,Bètè bètè,vine,vine,20140704,197156,900498,UTM,310
CI_tb_01,CI_tb_01_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,1,cal,D. alata,Bètè bètè,soil,soil_cal,20140704,197156,900498,UTM,310
CI_tb_01,CI_tb_01_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,1,add,D. alata,Bètè bètè,soil,soil_add,20140704,197156,900498,UTM,310
CI_tb_02a,CI_tb_02a_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,leaf,leaf,20140705,198860,899785,UTM,334
CI_tb_02a,CI_tb_02a_vine,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,vine,vine,20140705,198860,899785,UTM,334
CI_tb_02,CI_tb_02_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,tuber,tuber,20140705,198860,899785,UTM,334
CI_tb_02a,CI_tb_02a_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,soil,soil_cal,20140705,198860,899785,UTM,334
CI_tb_02a,CI_tb_02a_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,2,add,D. alata,Bètè bètè,soil,soil_add,20140705,198860,899785,UTM,334
CI_tb_02b,CI_tb_02b_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,leaf,leaf,20140705,198860,899785,UTM,334
CI_tb_02b,CI_tb_02b_vine,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,vine,vine,20140705,198860,899785,UTM,334
CI_tb_02b,CI_tb_02b_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,2,cal,D. alata,Bètè bètè,soil,soil_cal,20140705,198860,899785,UTM,334
CI_tb_02b,CI_tb_02b_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,2,add,D. alata,Bètè bètè,soil,soil_add,20140705,198860,899785,UTM,334
CI_tb_03,CI_tb_03_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,3,cal,D. rotundata,Krenglè,leaf,leaf,20140705,199878,898651,UTM,302
CI_tb_03,CI_tb_03_vine,ci,Côte d'Ivoire,tb,Tiéningboué,3,cal,D. rotundata,Krenglè,vine,vine,20140705,199878,898651,UTM,302
CI_tb_03,CI_tb_03_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,3,cal,D. rotundata,Krenglè,tuber,tuber,20140705,199878,898651,UTM,302
CI_tb_03,CI_tb_03_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,3,cal,D. rotundata,Krenglè,soil,soil_cal,20140705,199878,898651,UTM,302
CI_tb_03,CI_tb_03_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,3,add,D. rotundata,Krenglè,soil,soil_add,20140705,199878,898651,UTM,302
